(0.462879,-0.692241,-0.553666)
(0.060997,-0.909195,0.411878)
(0.883901,0.458812,0.090612)
(-0.980761,-0.076441,0.179623)
(-0.258731,0.790530,-0.555086)
(-0.201754,-0.598854,0.775029)
(0.994098,-0.099873,0.042368)
(0.108465,-0.197249,0.974335)
(-0.681043,0.723592,-0.112229)
(0.341239,-0.596608,0.726371)
(-0.729364,-0.000250,-0.684126)
(0.552980,0.657059,0.512335)
(0.144350,0.098850,-0.984577)
(-0.783406,0.082680,0.615986)
(-0.452042,-0.822424,0.345364)
(-0.286214,0.379506,-0.879805)
(-0.570853,-0.779769,-0.257074)
(-0.419331,0.821551,0.386284)
(-0.075882,0.284125,0.955780)
(-0.404539,-0.110505,0.907820)
(0.910794,0.216750,-0.351389)
(0.602375,0.229138,-0.764617)
(0.028877,-0.494594,-0.868644)
(0.551267,0.833727,0.031701)
(-0.160599,-0.985875,-0.047530)
(-0.889837,-0.311718,-0.333198)
(0.416301,0.321220,0.850595)
(0.546976,-0.784467,0.292280)
(-0.241350,0.967833,-0.071057)
(0.846256,0.182410,0.500577)
(0.201812,0.598853,-0.775014)
(0.125602,0.953174,0.275108)
(0.589309,-0.149461,0.793963)
(0.030191,0.714378,0.699108)
(-0.314763,-0.131960,-0.939953)
(-0.509433,-0.527722,-0.679696)
(0.794268,-0.596606,-0.114893)
(0.835512,-0.265053,-0.481317)
(-0.837844,0.467282,0.282250)
(0.629830,0.640166,-0.439889)
(0.826231,-0.382112,0.413924)
(-0.674295,0.485003,-0.556864)
(-0.684793,-0.423088,0.593342)
(-0.487197,0.474020,0.733447)
(-0.950526,0.229145,-0.209745)
(-0.073804,-0.843675,-0.531757)
(-0.825793,-0.552265,0.114326)
(0.199265,0.920876,-0.335083)
(0.477727,-0.266080,-0.837245)
(0.332665,-0.932604,-0.139943)
